Document Type,Document No.,Order Type,Channel Code,Channel Name,Sub Channel Code,Sub Channel Name,Region Code,Region Name,Area Code,Area Name,Township Code,Township Name,SE Code,SFA User Id.,SE Name,Customer No.,Customer Name,Brand,Brand Name,Pack Type,Pack Type Name,Item No.,Description,Base Unit of Measure,Beer Type Code,Beer Type Description,Year,Month,Day,Invoiced Quantity,Invoiced Qty. In HL,Sales Amount (Actual),Sales Tax Amount (Actual),Total Amount (Actual),Discount Amount (Sales),Discount Amount (Tax),Discount Amount,Gross Sale,Gross Tax Amount,Total Sales Incl.Tax,Invoice/Credit Memo No.,Posting Date,Location Code,Order No.,SFA Order No.,Order Date,Cr. Memo External Document No.,Return Order No.,Return Reason,Posted Warehouse Shipment/Receipt,External Document No.
Sales Shipment,SS-PYA/2021/1001893,,TG,Traditional Grocery,GCY,Grocery,REG-08,Central,PYA,Pyay,MMR008001,Pyay,SE-143,SE-10809,Aung Zin Phyo,C011116,C011116-Van Sale PYA 01,BG0202,Tuborg Strong,PT004,330 ML Can,10TBS330C-P,Tuborg Strong 330ml Can Pack of 24 (UTC),CASE,BT002,Strong,2021,12,1,16,1.2672,0,0,0,0,0,0,0,0,0,,,PYA-01,PYA-01/2021/1001877,,02-12-21,,,,PYA-PWS/2021/000632,
Sales Shipment,SS-PYA/2021/1001893,,TG,Traditional Grocery,GCY,Grocery,REG-08,Central,PYA,Pyay,MMR008001,Pyay,SE-143,SE-10809,Aung Zin Phyo,C011116,C011116-Van Sale PYA 01,BG0202,Tuborg Strong,PT004,330 ML Can,10TBS330C-P,Tuborg Strong 330ml Can Pack of 24 (UTC),CASE,BT002,Strong,2021,12,1,-16,-1.2672,0,0,0,0,0,0,0,0,0,,,PYA-01,PYA-01/2021/1001877,,02-12-21,,,,PYA-PWS/2021/000632,
Sales Shipment,SS-PYA/2021/1001893,,TG,Traditional Grocery,GCY,Grocery,REG-08,Central,PYA,Pyay,MMR008001,Pyay,SE-143,SE-10809,Aung Zin Phyo,C011116,C011116-Van Sale PYA 01,BL3702,YOMA Strong,PT005,500 ML Can,10YEX500C,Yoma Strong Can 500 ml,CASE,BT002,Strong,2021,12,1,9,1.08,0,0,0,0,0,0,0,0,0,,,PYA-01,PYA-01/2021/1001877,,02-12-21,,,,PYA-PWS/2021/000632,
Sales Shipment,SS-PYA/2021/1001893,,TG,Traditional Grocery,GCY,Grocery,REG-08,Central,PYA,Pyay,MMR008001,Pyay,SE-143,SE-10809,Aung Zin Phyo,C011116,C011116-Van Sale PYA 01,BL3702,YOMA Strong,PT005,500 ML Can,10YEX500C,Yoma Strong Can 500 ml,CASE,BT002,Strong,2021,12,1,-9,-1.08,0,0,0,0,0,0,0,0,0,,,PYA-01,PYA-01/2021/1001877,,02-12-21,,,,PYA-PWS/2021/000632,
Sales Shipment,SS-PYA/2021/1001893,,TG,Traditional Grocery,GCY,Grocery,REG-08,Central,PYA,Pyay,MMR008001,Pyay,SE-143,SE-10809,Aung Zin Phyo,C011116,C011116-Van Sale PYA 01,BL3702,YOMA Strong,PT002,640 ML Bottle - Carton,10YEX640B,Yoma Strong 640ml Bottle pack of 12 (Carton),CASE,BT002,Strong,2021,12,1,3,0.2304,0,0,0,0,0,0,0,0,0,,,PYA-01,PYA-01/2021/1001877,,02-12-21,,,,PYA-PWS/2021/000632,
Sales Shipment,SS-PYA/2021/1001893,,TG,Traditional Grocery,GCY,Grocery,REG-08,Central,PYA,Pyay,MMR008001,Pyay,SE-143,SE-10809,Aung Zin Phyo,C011116,C011116-Van Sale PYA 01,BL3702,YOMA Strong,PT002,640 ML Bottle - Carton,10YEX640B,Yoma Strong 640ml Bottle pack of 12 (Carton),CASE,BT002,Strong,2021,12,1,-3,-0.2304,0,0,0,0,0,0,0,0,0,,,PYA-01,PYA-01/2021/1001877,,02-12-21,,,,PYA-PWS/2021/000632,
Sales Shipment,SS-PYA/2021/1001893,,TG,Traditional Grocery,GCY,Grocery,REG-08,Central,PYA,Pyay,MMR008001,Pyay,SE-143,SE-10809,Aung Zin Phyo,C011116,C011116-Van Sale PYA 01,BL3701,YOMA Special,PT004,330 ML Can,10YSB330C,Yoma Special 330ml Can Pack of 24,CASE,BT001,Lager,2021,12,1,2,0.1584,0,0,0,0,0,0,0,0,0,,,PYA-01,PYA-01/2021/1001877,,02-12-21,,,,PYA-PWS/2021/000632,
Sales Shipment,SS-PYA/2021/1001893,,TG,Traditional Grocery,GCY,Grocery,REG-08,Central,PYA,Pyay,MMR008001,Pyay,SE-143,SE-10809,Aung Zin Phyo,C011116,C011116-Van Sale PYA 01,BL3701,YOMA Special,PT004,330 ML Can,10YSB330C,Yoma Special 330ml Can Pack of 24,CASE,BT001,Lager,2021,12,1,-2,-0.1584,0,0,0,0,0,0,0,0,0,,,PYA-01,PYA-01/2021/1001877,,02-12-21,,,,PYA-PWS/2021/000632,
Sales Shipment,SS-PYA/2021/1001893,,TG,Traditional Grocery,GCY,Grocery,REG-08,Central,PYA,Pyay,MMR008001,Pyay,SE-143,SE-10809,Aung Zin Phyo,C011116,C011116-Van Sale PYA 01,BL3701,YOMA Special,PT005,500 ML Can,10YSB500C,Yoma Special 500ml Can Pack of 24,CASE,BT001,Lager,2021,12,1,7,0.84,0,0,0,0,0,0,0,0,0,,,PYA-01,PYA-01/2021/1001877,,02-12-21,,,,PYA-PWS/2021/000632,
Sales Shipment,SS-PYA/2021/1001893,,TG,Traditional Grocery,GCY,Grocery,REG-08,Central,PYA,Pyay,MMR008001,Pyay,SE-143,SE-10809,Aung Zin Phyo,C011116,C011116-Van Sale PYA 01,BL3701,YOMA Special,PT005,500 ML Can,10YSB500C,Yoma Special 500ml Can Pack of 24,CASE,BT001,Lager,2021,12,1,-7,-0.84,0,0,0,0,0,0,0,0,0,,,PYA-01,PYA-01/2021/1001877,,02-12-21,,,,PYA-PWS/2021/000632,
Sales Shipment,SS-PYA/2021/1001893,,TG,Traditional Grocery,GCY,Grocery,REG-08,Central,PYA,Pyay,MMR008001,Pyay,SE-143,SE-10809,Aung Zin Phyo,C011116,C011116-Van Sale PYA 01,BL3701,YOMA Special,PT002,640 ML Bottle - Carton,10YSB640B,Yoma Special 640ml Bottle pack of 12 (Carton),CASE,BT001,Lager,2021,12,1,2,0.1536,0,0,0,0,0,0,0,0,0,,,PYA-01,PYA-01/2021/1001877,,02-12-21,,,,PYA-PWS/2021/000632,
Sales Shipment,SS-PYA/2021/1001893,,TG,Traditional Grocery,GCY,Grocery,REG-08,Central,PYA,Pyay,MMR008001,Pyay,SE-143,SE-10809,Aung Zin Phyo,C011116,C011116-Van Sale PYA 01,BL3701,YOMA Special,PT002,640 ML Bottle - Carton,10YSB640B,Yoma Special 640ml Bottle pack of 12 (Carton),CASE,BT001,Lager,2021,12,1,-2,-0.1536,0,0,0,0,0,0,0,0,0,,,PYA-01,PYA-01/2021/1001877,,02-12-21,,,,PYA-PWS/2021/000632,
Sales Shipment,SS-YGN/2021/1013140,,BST,Beer Station,BST-D,Beer Station (Draught),REG-07,Yangon & Lower,YGN,Yangon,MMR013012,North Okkalapa,SE-031,SE-10739,Htun Lin Htet,C011117,C011117-Shwe Nyung Pin Restaurant,BG0201,Tuborg Green,PT001,30 Liter Keg,10TBG30K,Tuborg 30 Litre Keg,KEG,BT001,Lager,2021,12,1,1,0.3,"64,047.62","3,202.38","67,250.00",0,0,0,"64,047.62","3,202.38","67,250.00",PSI-YGN/2021/1013169,01-12-21,YGN-01,YGN-01/2021/1013142,SE-10739291120212007390743,29-11-21,,,,YGN-PWS/2021/002995,SE-10739291120212007390743
Sales Return Receipt,SR-YGN/2021/207027,,BST,Beer Station,BST-D,Beer Station (Draught),REG-07,Yangon & Lower,YGN,Yangon,MMR013012,North Okkalapa,SE-031,SE-10739,Htun Lin Htet,C011117,C011117-Shwe Nyung Pin Restaurant,OT0001,"Others -Keg, Crate and CO2 Cylinder",,,4000032,Keg 30L,PCS,,,2021,12,1,-1,0,0,0,0,0,0,0,0,0,0,PSCR-YGN/2021/005950,03-12-21,YGN-01,,,,EMPTY-PSI-YGN/2021/1013169,YGN-01/2021/2007532,Empty Return,YGN-PWR/2021/002068,
Sales Shipment,SS-YGN/2021/1013112,,BST,Beer Station,BST-ND,Beer Station (Non-Draught),REG-07,Yangon & Lower,YGN,Yangon,MMR013021,Dagon Myothit (Seikkan),SE-031,SE-10739,Htun Lin Htet,C011119,C011119-SIGN Bar and Restaurant,BG0101,Carlsberg,PT008,640 ML Bottle - Crate,10CBG640CR,Carlsberg 640ml Bottle pack of 12 (Crate),CASE,BT001,Lager,2021,12,1,7,0.5376,"162,000.00","8,100.00","170,100.00",0,0,0,"162,000.00","8,100.00","170,100.00",PSI-YGN/2021/1013141,01-12-21,YGN-01,YGN-01/2021/1013200,SE-10739301120210841320749,30-11-21,,,,YGN-PWS/2021/002993,SE-10739301120210841320749
Sales Shipment,SS-YGN/2021/1013112,,BST,Beer Station,BST-ND,Beer Station (Non-Draught),REG-07,Yangon & Lower,YGN,Yangon,MMR013021,Dagon Myothit (Seikkan),SE-031,SE-10739,Htun Lin Htet,C011119,C011119-SIGN Bar and Restaurant,BG0201,Tuborg Green,PT008,640 ML Bottle - Crate,10TBG640CR-4G,Tuborg-4G 640ml Bottle pack of 12 (Crate),CASE,BT001,Lager,2021,12,1,7,0.5376,"139,333.33","6,966.67","146,300.00",0,0,0,"139,333.33","6,966.67","146,300.00",PSI-YGN/2021/1013141,01-12-21,YGN-01,YGN-01/2021/1013200,SE-10739301120210841320749,30-11-21,,,,YGN-PWS/2021/002993,SE-10739301120210841320749
Sales Return Receipt,SR-YGN/2021/206989,,BST,Beer Station,BST-ND,Beer Station (Non-Draught),REG-07,Yangon & Lower,YGN,Yangon,MMR013021,Dagon Myothit (Seikkan),SE-031,SE-10739,Htun Lin Htet,C011119,C011119-SIGN Bar and Restaurant,OT0001,"Others -Keg, Crate and CO2 Cylinder",,,4000037,Crate,CRATE,,,2021,12,1,-12,0,0,0,0,0,0,0,0,0,0,PSCR-YGN/2021/005951,03-12-21,YGN-01,,,,EMPTY-PSI-YGN/2021/1013141,YGN-01/2021/2007505,Empty Return,YGN-PWR/2021/002058,
Sales Return Receipt,SR-YGN/2021/206989,,BST,Beer Station,BST-ND,Beer Station (Non-Draught),REG-07,Yangon & Lower,YGN,Yangon,MMR013021,Dagon Myothit (Seikkan),SE-031,SE-10739,Htun Lin Htet,C011119,C011119-SIGN Bar and Restaurant,BG0101,Carlsberg,,,4000108,Carlsberg 640ml Bottle Crt Return,BOTTLE,,,2021,12,1,-84,0,0,0,0,0,0,0,0,0,0,PSCR-YGN/2021/005951,03-12-21,YGN-01,,,,EMPTY-PSI-YGN/2021/1013141,YGN-01/2021/2007505,Empty Return,YGN-PWR/2021/002058,
Sales Return Receipt,SR-YGN/2021/206989,,BST,Beer Station,BST-ND,Beer Station (Non-Draught),REG-07,Yangon & Lower,YGN,Yangon,MMR013021,Dagon Myothit (Seikkan),SE-031,SE-10739,Htun Lin Htet,C011119,C011119-SIGN Bar and Restaurant,BG0201,Tuborg Green,,,4000109,Tuborg 640ml Bottle Crt Return,BOTTLE,,,2021,12,1,-60,0,0,0,0,0,0,0,0,0,0,PSCR-YGN/2021/005951,03-12-21,YGN-01,,,,EMPTY-PSI-YGN/2021/1013141,YGN-01/2021/2007505,Empty Return,YGN-PWR/2021/002058,
Sales Shipment,SS-YGN/2021/1013151,,PB,Premium Bar,PB-D,Premium Bar (Draught),REG-07,Yangon & Lower,YGN,Yangon,MMR013011,South Okkalapa,SE-024,SE-10751,Min Kyaw Swar,C011122,C011122-Beer Village,BG0201,Tuborg Green,PT001,30 Liter Keg,10TBG30K,Tuborg 30 Litre Keg,KEG,BT001,Lager,2021,12,1,7,2.1,"448,333.33","22,416.67","470,750.00",0,0,0,"448,333.33","22,416.67","470,750.00",PSI-YGN/2021/1013180,01-12-21,YGN-01,YGN-01/2021/1013148,SE-10751291120212019381176,29-11-21,,,,YGN-PWS/2021/002996,SE-10751291120212019381176
Sales Return Receipt,SR-YGN/2021/206943,,PB,Premium Bar,PB-D,Premium Bar (Draught),REG-07,Yangon & Lower,YGN,Yangon,MMR013011,South Okkalapa,SE-024,SE-10751,Min Kyaw Swar,C011122,C011122-Beer Village,OT0001,"Others -Keg, Crate and CO2 Cylinder",,,4000032,Keg 30L,PCS,,,2021,12,1,-8,0,0,0,0,0,0,0,0,0,0,PSCR-YGN/2021/005836,02-12-21,YGN-01,,,,EMPTY-PSI-YGN/2021/SR NO,YGN-01/2021/2007460,Empty Return,YGN-PWR/2021/002053,
Sales Return Receipt,SR-YGN/2021/206943,,PB,Premium Bar,PB-D,Premium Bar (Draught),REG-07,Yangon & Lower,YGN,Yangon,MMR013011,South Okkalapa,SE-024,SE-10751,Min Kyaw Swar,C011122,C011122-Beer Village,OT0001,"Others -Keg, Crate and CO2 Cylinder",,,CO2EMPTY,CO2 (Empty),PCS,,,2021,12,1,-1,0,0,0,0,0,0,0,0,0,0,PSCR-YGN/2021/005836,02-12-21,YGN-01,,,,EMPTY-PSI-YGN/2021/SR NO,YGN-01/2021/2007460,Empty Return,YGN-PWR/2021/002053,
Sales Shipment,SS-YGN/2021/5001407,Co2 Cylinder,PB,Premium Bar,PB-D,Premium Bar (Draught),REG-07,Yangon & Lower,YGN,Yangon,MMR013011,South Okkalapa,SE-024,SE-10751,Min Kyaw Swar,C011122,C011122-Beer Village,OT0001,"Others -Keg, Crate and CO2 Cylinder",,,CO2FULL,CO2 Cylinder (Full),PCS,,,2021,12,1,1,0,0,0,0,0,0,0,0,0,0,PSI-YGN/2021/5001409,01-12-21,YGN-01,YGN-01/2021/5001431,COSE-10751291120212019381176,29-11-21,,,,YGN-PWS/2021/002996,COSE-10751291120212019381176
Sales Shipment,SS-MDY/2021/1008854,,NE-KTV,Night Entertainment – KTV,NE-KTV-ND,Night Entertainment – KTV (Non-Draught),REG-09,Upper,MDY,Mandalay,MMR010003,Mahaaungmyay,SE-059,SE-10813,Ye Marn Ko,C011126,C011126-LV KTV,BG0201,Tuborg Green,PT002,640 ML Bottle - Carton,10TBG640CT-4G,Tuborg-4G 640ml Bottle pack of 12 (Carton),CASE,BT001,Lager,2021,12,1,3,0.2304,"63,142.86","3,157.14","66,300.00",0,0,0,"63,142.86","3,157.14","66,300.00",PSI-MDY/2021/1008754,01-12-21,MDY-01,MDY-01/2021/1009541,SE-10813301120211157060878,30-11-21,,,,MDY-PWS/2021/001372,SE-10813301120211157060878
Sales Shipment,SS-MDY/2021/1008859,,PR_L,Premium Local Rest,PR-L-ND,Premium Local Rest (Non-Draught),REG-09,Upper,MDY,Mandalay,MMR010007,Patheingyi,SE-059,SE-10813,Ye Marn Ko,C011129,C011129-New Garden Restaurant,BG0101,Carlsberg,PT002,640 ML Bottle - Carton,10CBG640B,Carlsberg 640ml Bottle pack of 12,CASE,BT001,Lager,2021,12,1,1,0.0768,"24,095.24","1,204.76","25,300.00",0,0,0,"24,095.24","1,204.76","25,300.00",PSI-MDY/2021/1008759,01-12-21,MDY-01,MDY-01/2021/1009549,SE-10813301120211217570883,30-11-21,,,,MDY-PWS/2021/001372,SE-10813301120211217570883
Sales Shipment,SS-MLM/2021/1002393,,BST,Beer Station,BST-ND,Beer Station (Non-Draught),REG-07,Yangon & Lower,MLM,Mawlamyine,MMR011008,Paung,SE-130,SE-10234,Auntt Min Naung,C011133,C011133-Kaw Lay,BL3700,YOMA Classic,PT001,30 Liter Keg,10YOM30K,Yoma Classic 30 Litre Keg,KEG,BT001,Lager,2021,12,1,2,0.6,"105,333.33","5,266.67","110,600.00",0,0,0,"105,333.33","5,266.67","110,600.00",PSI-MLM/2021/1002354,01-12-21,MLM-01,MLM-01/2021/1002469,SE-10234301120211139130105,30-11-21,,,,MLM-PWS/2021/000733,SE-10234301120211139130105
Sales Shipment,SS-MLM/2021/1002407,,PR_L,Premium Local Rest,PR-L-ND,Premium Local Rest (Non-Draught),REG-07,Yangon & Lower,MLM,Mawlamyine,MMR011001,Mawlamyine,SE-132,SE-10773,Soe Moe,C011145,C011145-Just,BG0101,Carlsberg,PT003,330 ML Bottle,10CBG330B,Carlsberg 330ml Bottle Pack of 24,CASE,BT001,Lager,2021,12,1,1,0.0792,"35,238.10","1,761.91","37,000.01",0,0,0,"35,238.10","1,761.91","37,000.01",PSI-MLM/2021/1002368,01-12-21,MLM-01,MLM-01/2021/1002489,SE-10773011220211001260850,01-12-21,,,,MLM-PWS/2021/000736,SE-10773011220211001260850
Sales Shipment,SS-YGN/2021/1013125,,BST,Beer Station,BST-D,Beer Station (Draught),REG-07,Yangon & Lower,YGN,Yangon,MMR013015,Tamwe,SE-040,SE-10830,Zaw Min Htwe,C011147,C011147-Shwe Pyae Sone,BL3710,Black Eagle,PT006,10 Liter Keg,10BEG10K,Black Eagle 10 Liter Keg,KEG,BT004,Stout,2021,12,1,2,0.2,"49,523.81","2,476.19","52,000.00",0,0,0,"49,523.81","2,476.19","52,000.00",PSI-YGN/2021/1013154,01-12-21,YGN-01,YGN-01/2021/1013152,SE-10830291120212132180457,29-11-21,,,,YGN-PWS/2021/002994,SE-10830291120212132180457
Sales Shipment,SS-YGN/2021/1013125,,BST,Beer Station,BST-D,Beer Station (Draught),REG-07,Yangon & Lower,YGN,Yangon,MMR013015,Tamwe,SE-040,SE-10830,Zaw Min Htwe,C011147,C011147-Shwe Pyae Sone,BG0201,Tuborg Green,PT001,30 Liter Keg,10TBG30K,Tuborg 30 Litre Keg,KEG,BT001,Lager,2021,12,1,4,1.2,"256,190.48","12,809.52","269,000.00",0,0,0,"256,190.48","12,809.52","269,000.00",PSI-YGN/2021/1013154,01-12-21,YGN-01,YGN-01/2021/1013152,SE-10830291120212132180457,29-11-21,,,,YGN-PWS/2021/002994,SE-10830291120212132180457
Sales Shipment,SS-YGN/2021/1013125,Free Beer-Contract Volume Related,BST,Beer Station,BST-D,Beer Station (Draught),REG-07,Yangon & Lower,YGN,Yangon,MMR013015,Tamwe,SE-040,SE-10830,Zaw Min Htwe,C011147,C011147-Shwe Pyae Sone,BG0201,Tuborg Green,PT001,30 Liter Keg,10TBG30K,Tuborg 30 Litre Keg,KEG,BT001,Lager,2021,12,1,1,0.3,0,0,0,"64,047.62",0,"64,047.62","64,047.62",0,"64,047.62",PSI-YGN/2021/1013154,01-12-21,YGN-01,YGN-01/2021/1013152,SE-10830291120212132180457,29-11-21,,,,YGN-PWS/2021/002994,SE-10830291120212132180457
Sales Return Receipt,SR-YGN/2021/206977,,BST,Beer Station,BST-D,Beer Station (Draught),REG-07,Yangon & Lower,YGN,Yangon,MMR013015,Tamwe,SE-040,SE-10830,Zaw Min Htwe,C011147,C011147-Shwe Pyae Sone,OT0001,"Others -Keg, Crate and CO2 Cylinder",,,4000032,Keg 30L,PCS,,,2021,12,1,-4,0,0,0,0,0,0,0,0,0,0,PSCR-YGN/2021/005952,03-12-21,YGN-01,,,,EMPTY-PSI-YGN/2021/1013154,YGN-01/2021/2007493,Empty Return,YGN-PWR/2021/002057,
Sales Return Receipt,SR-YGN/2021/206977,,BST,Beer Station,BST-D,Beer Station (Draught),REG-07,Yangon & Lower,YGN,Yangon,MMR013015,Tamwe,SE-040,SE-10830,Zaw Min Htwe,C011147,C011147-Shwe Pyae Sone,OT0001,"Others -Keg, Crate and CO2 Cylinder",,,4000053,Keg 10L,PCS,,,2021,12,1,-2,0,0,0,0,0,0,0,0,0,0,PSCR-YGN/2021/005952,03-12-21,YGN-01,,,,EMPTY-PSI-YGN/2021/1013154,YGN-01/2021/2007493,Empty Return,YGN-PWR/2021/002057,
Sales Shipment,SS-YGN/2021/5001399,Co2 Cylinder,BST,Beer Station,BST-D,Beer Station (Draught),REG-07,Yangon & Lower,YGN,Yangon,MMR013015,Tamwe,SE-040,SE-10830,Zaw Min Htwe,C011147,C011147-Shwe Pyae Sone,OT0001,"Others -Keg, Crate and CO2 Cylinder",,,CO2FULL,CO2 Cylinder (Full),PCS,,,2021,12,1,1,0,0,0,0,0,0,0,0,0,0,PSI-YGN/2021/5001401,01-12-21,YGN-01,YGN-01/2021/5001433,COSE-10830291120212132180457,29-11-21,,,,YGN-PWS/2021/002994,COSE-10830291120212132180457
Sales Shipment,SS-YGN/2021/1013113,,BST,Beer Station,BST-D,Beer Station (Draught),REG-07,Yangon & Lower,YGN,Yangon,MMR013018,Dagon Myothit (South),SE-031,SE-10739,Htun Lin Htet,C011167,C011167-Miba Kyae Zue,BG0201,Tuborg Green,PT001,30 Liter Keg,10TBG30K,Tuborg 30 Litre Keg,KEG,BT001,Lager,2021,12,1,1,0.3,"64,047.62","3,202.38","67,250.00",0,0,0,"64,047.62","3,202.38","67,250.00",PSI-YGN/2021/1013142,01-12-21,YGN-01,YGN-01/2021/1013147,SE-10739291120212014290748,29-11-21,,,,YGN-PWS/2021/002993,SE-10739291120212014290748
Sales Shipment,SS-YGN/2021/1013113,,BST,Beer Station,BST-D,Beer Station (Draught),REG-07,Yangon & Lower,YGN,Yangon,MMR013018,Dagon Myothit (South),SE-031,SE-10739,Htun Lin Htet,C011167,C011167-Miba Kyae Zue,BL3700,YOMA Classic,PT001,30 Liter Keg,10YOM30K,Yoma Classic 30 Litre Keg,KEG,BT001,Lager,2021,12,1,1,0.3,"52,666.67","2,633.33","55,300.00",0,0,0,"52,666.67","2,633.33","55,300.00",PSI-YGN/2021/1013142,01-12-21,YGN-01,YGN-01/2021/1013147,SE-10739291120212014290748,29-11-21,,,,YGN-PWS/2021/002993,SE-10739291120212014290748
Sales Shipment,SS-MLM/2021/1002390,,BST,Beer Station,BST-D,Beer Station (Draught),REG-07,Yangon & Lower,MLM,Mawlamyine,MMR003001,Hpa-An,SE-131,SE-10686,Than Soe Aung,C011168,C011168-Pwint Thit Sa,BL3710,Black Eagle,PT004,330 ML Can,10BEG330C-P,Black Eagle 330ml Can pack of 24 (Promo),CASE,BT004,Stout,2021,12,1,1,0.0792,"25,809.52","1,290.48","27,100.00",0,0,0,"25,809.52","1,290.48","27,100.00",PSI-MLM/2021/1002351,01-12-21,MLM-01,MLM-01/2021/1002465,SE-10686301120210935480608,30-11-21,,,,MLM-PWS/2021/000731,SE-10686301120210935480608
Sales Return Receipt,SR-MLM/2021/200990,,BST,Beer Station,BST-D,Beer Station (Draught),REG-07,Yangon & Lower,MLM,Mawlamyine,MMR003001,Hpa-An,SE-131,SE-10686,Than Soe Aung,C011168,C011168-Pwint Thit Sa,OT0001,"Others -Keg, Crate and CO2 Cylinder",,,4000032,Keg 30L,PCS,,,2021,12,1,-2,0,0,0,0,0,0,0,0,0,0,PSCR-MLM/2021/000962,02-12-21,MLM-01,,,,EMPTY-1002348,MLM-01/2021/2001018,Empty Return,MLM-PWR/2021/000252,
Sales Shipment,SS-YGN/2021/1013109,,BST,Beer Station,BST-D,Beer Station (Draught),REG-07,Yangon & Lower,YGN,Yangon,MMR013019,Dagon Myothit (North),SE-022,SE-10324,Soe Min Htut,C011169,C011169-Beer Match BBQ Restaurant,BG0201,Tuborg Green,PT001,30 Liter Keg,10TBG30K,Tuborg 30 Litre Keg,KEG,BT001,Lager,2021,12,1,5,1.5,"320,238.10","16,011.91","336,250.01",0,0,0,"320,238.10","16,011.91","336,250.01",PSI-YGN/2021/1013138,01-12-21,YGN-01,YGN-01/2021/1013214,SE-10324301120210935570787,30-11-21,,,,YGN-PWS/2021/002993,SE-10324301120210935570787
Sales Shipment,SS-YGN/2021/1013109,Free Beer-Contract Volume Related,BST,Beer Station,BST-D,Beer Station (Draught),REG-07,Yangon & Lower,YGN,Yangon,MMR013019,Dagon Myothit (North),SE-022,SE-10324,Soe Min Htut,C011169,C011169-Beer Match BBQ Restaurant,BG0201,Tuborg Green,PT001,30 Liter Keg,10TBG30K,Tuborg 30 Litre Keg,KEG,BT001,Lager,2021,12,1,1,0.3,0,0,0,"64,047.62",0,"64,047.62","64,047.62",0,"64,047.62",PSI-YGN/2021/1013138,01-12-21,YGN-01,YGN-01/2021/1013214,SE-10324301120210935570787,30-11-21,,,,YGN-PWS/2021/002993,SE-10324301120210935570787
Sales Return Receipt,SR-YGN/2021/206996,,BST,Beer Station,BST-D,Beer Station (Draught),REG-07,Yangon & Lower,YGN,Yangon,MMR013019,Dagon Myothit (North),SE-022,SE-10324,Soe Min Htut,C011169,C011169-Beer Match BBQ Restaurant,OT0001,"Others -Keg, Crate and CO2 Cylinder",,,4000032,Keg 30L,PCS,,,2021,12,1,-2,0,0,0,0,0,0,0,0,0,0,PSCR-YGN/2021/005953,03-12-21,YGN-01,,,,EMPTY-PSI-YGN/2021/1013138,YGN-01/2021/2007513,Empty Return,YGN-PWR/2021/002058,
Sales Shipment,SS-MDY/2021/1008764,,BST,Beer Station,BST-D,Beer Station (Draught),REG-09,Upper,MDY,Mandalay,MMR010009,Madaya,SE-056,SE-10613,Kyaw Ye Oo,C011176,C011176-Khaing War,BL3701,YOMA Special,PT002,640 ML Bottle - Carton,10YSB640B,Yoma Special 640ml Bottle pack of 12 (Carton),CASE,BT001,Lager,2021,12,1,2,0.1536,"30,666.67","1,533.33","32,200.00",0,0,0,"30,666.67","1,533.33","32,200.00",PSI-MDY/2021/1008664,01-12-21,MDY-01,MDY-01/2021/1009546,SE-10613301120211201440226,30-11-21,,,,MDY-PWS/2021/001366,SE-10613301120211201440226
Sales Shipment,SS-YGN/2021/4000750,POSM,BST,Beer Station,BST-D,Beer Station (Draught),REG-07,Yangon & Lower,YGN,Yangon,MMR013001,Insein,SE-009,SE-10392,Thant Zin,C011194,C011194-V.I.P BBQ,BL3700,YOMA Classic,,,8000059,YM Table Cloth,PCS,,,2021,12,1,10,0,0,0,0,"22,211.40",0,"22,211.40","22,211.40",0,"22,211.40",PSI-YGN/2021/4000741,01-12-21,YGN-POSM,YGN-01/2021/4000901,RPSE-10392241120211620040344,24-11-21,,,,YGN-PWS/2021/003000,RPSE-10392241120211620040344
Sales Shipment,SS-YGN/2021/4000750,POSM,BST,Beer Station,BST-D,Beer Station (Draught),REG-07,Yangon & Lower,YGN,Yangon,MMR013001,Insein,SE-009,SE-10392,Thant Zin,C011194,C011194-V.I.P BBQ,BG0201,Tuborg Green,,,8000341,Tuborg 4G tumb glass 0.3L,PCS,,,2021,12,1,30,0,0,0,0,24.71,0,24.71,24.71,0,24.71,PSI-YGN/2021/4000741,01-12-21,YGN-POSM,YGN-01/2021/4000901,RPSE-10392241120211620040344,24-11-21,,,,YGN-PWS/2021/003000,RPSE-10392241120211620040344
Sales Shipment,SS-YGN/2021/4000750,POSM,BST,Beer Station,BST-D,Beer Station (Draught),REG-07,Yangon & Lower,YGN,Yangon,MMR013001,Insein,SE-009,SE-10392,Thant Zin,C011194,C011194-V.I.P BBQ,BG0101,Carlsberg,,,8000408,CB Outdoor Double Sided Light Sign,PCS,,,2021,12,1,1,0,0,0,0,44.42,0,44.42,44.42,0,44.42,PSI-YGN/2021/4000741,01-12-21,YGN-POSM,YGN-01/2021/4000901,RPSE-10392241120211620040344,24-11-21,,,,YGN-PWS/2021/003000,RPSE-10392241120211620040344
Sales Shipment,SS-YGN/2021/4000750,POSM,BST,Beer Station,BST-D,Beer Station (Draught),REG-07,Yangon & Lower,YGN,Yangon,MMR013001,Insein,SE-009,SE-10392,Thant Zin,C011194,C011194-V.I.P BBQ,BG0201,Tuborg Green,,,8000418,TB 4G Coaster,PCS,,,2021,12,1,100,0,0,0,0,"3,221.00",0,"3,221.00","3,221.00",0,"3,221.00",PSI-YGN/2021/4000741,01-12-21,YGN-POSM,YGN-01/2021/4000901,RPSE-10392241120211620040344,24-11-21,,,,YGN-PWS/2021/003000,RPSE-10392241120211620040344
